activity_id,customer_id,month,login_count,session_minutes,invoices_created,reports_generated,active_users,features_used
ACT0014626,CUST00811,2026-02-01,17,638,24,12,8,4
ACT0014627,CUST00811,2026-03-01,17,678,27,5,4,5
ACT0014628,CUST00811,2026-04-01,16,314,34,3,4,5
ACT0014629,CUST00811,2026-05-01,12,468,25,5,3,3
ACT0014630,CUST00811,2026-06-01,17,506,5,5,5,3
ACT0014631,CUST00811,2026-07-01,15,584,23,9,5,5
ACT0014632,CUST00811,2026-08-01,17,629,24,9,3,6
ACT0014633,CUST00811,2026-09-01,10,230,29,1,4,5
ACT0014634,CUST00812,2024-11-01,16,351,49,8,1,3
ACT0014635,CUST00812,2024-12-01,10,374,44,10,5,5
ACT0014636,CUST00812,2025-01-01,21,553,46,9,2,2
ACT0014637,CUST00812,2025-02-01,17,446,34,9,8,2
ACT0014638,CUST00812,2025-03-01,14,419,28,11,5,6
ACT0014639,CUST00812,2025-04-01,20,468,18,5,1,8
ACT0014640,CUST00812,2025-05-01,12,277,29,11,5,4
ACT0014641,CUST00812,2025-06-01,7,570,17,7,4,5
ACT0014642,CUST00812,2025-07-01,17,429,33,12,1,3
ACT0014643,CUST00812,2025-08-01,17,761,55,10,1,3
ACT0014644,CUST00812,2025-09-01,22,547,35,5,2,2
ACT0014645,CUST00812,2025-10-01,26,525,45,8,5,6
ACT0014646,CUST00812,2025-11-01,18,196,29,7,3,2
ACT0014647,CUST00812,2025-12-01,26,550,40,4,3,3
ACT0014648,CUST00812,2026-01-01,12,606,31,5,2,5
ACT0014649,CUST00812,2026-02-01,24,501,36,8,7,4
ACT0014650,CUST00812,2026-03-01,20,277,32,8,3,6
ACT0014651,CUST00812,2026-04-01,17,455,52,11,6,4
ACT0014652,CUST00812,2026-05-01,21,305,24,8,2,5
ACT0014653,CUST00812,2026-06-01,21,618,59,6,2,5
ACT0014654,CUST00812,2026-07-01,18,601,48,11,3,5
ACT0014655,CUST00812,2026-08-01,24,603,39,6,1,3
ACT0014656,CUST00812,2026-09-01,28,592,37,12,7,4
ACT0014657,CUST00813,2026-02-01,21,398,36,6,1,5
ACT0014658,CUST00813,2026-03-01,16,193,2,7,1,3
ACT0014659,CUST00813,2026-04-01,13,763,42,7,3,4
ACT0014660,CUST00813,2026-05-01,17,540,24,4,5,3
ACT0014661,CUST00813,2026-06-01,23,352,45,6,3,5
ACT0014662,CUST00813,2026-07-01,28,558,37,5,3,5
ACT0014663,CUST00813,2026-08-01,26,598,42,3,6,3
ACT0014664,CUST00813,2026-09-01,19,448,32,6,5,4
ACT0014665,CUST00814,2023-11-01,9,681,42,6,1,7
ACT0014666,CUST00814,2023-12-01,18,684,30,10,1,1
ACT0014667,CUST00814,2024-01-01,27,615,42,7,8,2
ACT0014668,CUST00814,2024-02-01,25,536,22,12,5,5
ACT0014669,CUST00814,2024-03-01,21,430,36,8,7,2
ACT0014670,CUST00814,2024-04-01,11,465,24,4,6,5
ACT0014671,CUST00814,2024-05-01,21,401,43,8,3,6
ACT0014672,CUST00814,2024-06-01,31,669,44,8,1,5
ACT0014673,CUST00814,2024-07-01,12,601,41,5,5,2
ACT0014674,CUST00814,2024-08-01,19,543,38,5,1,5
ACT0014675,CUST00814,2024-09-01,41,576,29,9,5,5
ACT0014676,CUST00814,2024-10-01,19,558,38,13,3,4
ACT0014677,CUST00814,2024-11-01,15,508,48,7,6,6
ACT0014678,CUST00814,2024-12-01,25,674,41,6,4,2
ACT0014679,CUST00814,2025-01-01,17,547,18,7,9,6
ACT0014680,CUST00814,2025-02-01,20,391,46,5,7,3
ACT0014681,CUST00814,2025-03-01,19,468,54,9,1,2
ACT0014682,CUST00814,2025-04-01,26,236,36,7,3,5
ACT0014683,CUST00814,2025-05-01,35,475,36,3,4,4
ACT0014684,CUST00814,2025-06-01,24,552,42,3,3,4
ACT0014685,CUST00814,2025-07-01,17,472,43,7,5,4
ACT0014686,CUST00814,2025-08-01,25,361,49,10,2,5
ACT0014687,CUST00814,2025-09-01,28,480,12,11,4,4
ACT0014688,CUST00814,2025-10-01,21,527,29,16,3,7
ACT0014689,CUST00814,2025-11-01,24,484,32,8,4,1
ACT0014690,CUST00814,2025-12-01,14,493,40,1,3,6
ACT0014691,CUST00814,2026-01-01,24,553,57,12,3,7
ACT0014692,CUST00814,2026-02-01,12,441,64,9,2,3
ACT0014693,CUST00814,2026-03-01,25,444,58,2,7,5
ACT0014694,CUST00814,2026-04-01,12,597,18,4,3,7
ACT0014695,CUST00814,2026-05-01,16,663,66,9,5,3
ACT0014696,CUST00814,2026-06-01,24,688,47,6,4,4
ACT0014697,CUST00814,2026-07-01,32,353,39,13,3,6
ACT0014698,CUST00814,2026-08-01,24,668,39,6,2,6
ACT0014699,CUST00814,2026-09-01,19,766,49,7,7,4
ACT0014700,CUST00815,2024-07-01,7,447,19,9,2,6
ACT0014701,CUST00815,2024-08-01,27,496,44,11,4,6
ACT0014702,CUST00815,2024-09-01,18,560,49,6,1,5
ACT0014703,CUST00815,2024-10-01,13,663,42,3,2,3
ACT0014704,CUST00815,2024-11-01,21,531,27,11,8,3
ACT0014705,CUST00815,2024-12-01,26,733,33,1,4,4
ACT0014706,CUST00815,2025-01-01,14,525,24,12,4,7
ACT0014707,CUST00815,2025-02-01,24,746,16,11,3,6
ACT0014708,CUST00815,2025-03-01,21,786,16,11,3,6
ACT0014709,CUST00815,2025-04-01,22,475,28,11,5,4
ACT0014710,CUST00815,2025-05-01,23,678,39,12,1,6
ACT0014711,CUST00815,2025-06-01,20,337,66,4,2,4
ACT0014712,CUST00815,2025-07-01,22,258,27,7,3,5
ACT0014713,CUST00815,2025-08-01,13,182,31,9,1,5
ACT0014714,CUST00815,2025-09-01,25,608,10,9,7,5
ACT0014715,CUST00815,2025-10-01,18,464,45,9,1,5
ACT0014716,CUST00815,2025-11-01,28,337,39,3,1,3
ACT0014717,CUST00815,2025-12-01,23,481,8,8,2,6
ACT0014718,CUST00815,2026-01-01,19,715,40,9,6,7
ACT0014719,CUST00815,2026-02-01,9,455,32,8,1,3
ACT0014720,CUST00815,2026-03-01,18,205,17,10,2,3
ACT0014721,CUST00815,2026-04-01,18,358,32,7,4,4
ACT0014722,CUST00815,2026-05-01,18,451,25,9,7,5
ACT0014723,CUST00815,2026-06-01,12,685,35,6,7,4
ACT0014724,CUST00815,2026-07-01,19,529,56,11,5,7
ACT0014725,CUST00815,2026-08-01,26,426,45,9,4,7
ACT0014726,CUST00815,2026-09-01,17,393,30,0,1,2
ACT0014727,CUST00816,2023-10-01,15,682,21,2,1,7
ACT0014728,CUST00816,2023-11-01,16,634,45,1,4,6
ACT0014729,CUST00816,2023-12-01,10,257,34,3,4,6
ACT0014730,CUST00816,2024-01-01,19,471,38,3,7,4
ACT0014731,CUST00816,2024-02-01,8,449,28,1,5,5
ACT0014732,CUST00816,2024-03-01,12,256,30,7,5,3
ACT0014733,CUST00816,2024-04-01,6,195,23,3,5,4
ACT0014734,CUST00816,2024-05-01,12,143,14,3,5,5
ACT0014735,CUST00816,2024-06-01,10,249,9,2,3,4
ACT0014736,CUST00816,2024-07-01,2,139,12,2,4,7
ACT0014737,CUST00816,2024-08-01,2,75,5,2,5,5
ACT0014738,CUST00816,2024-09-01,4,54,4,1,3,6
ACT0014739,CUST00816,2024-10-01,4,72,5,1,5,7
ACT0014740,CUST00816,2024-11-01,3,76,3,1,2,3
ACT0014741,CUST00816,2024-12-01,3,67,0,2,1,4
ACT0014742,CUST00816,2025-01-01,1,69,4,0,3,3
ACT0014743,CUST00816,2025-02-01,3,84,5,1,6,2
ACT0014744,CUST00816,2025-03-01,4,112,6,1,8,6
ACT0014745,CUST00816,2025-04-01,1,66,6,0,6,4
ACT0014746,CUST00816,2025-05-01,2,70,4,0,3,4
ACT0014747,CUST00816,2025-06-01,3,50,5,2,1,5
ACT0014748,CUST00816,2025-07-01,3,76,5,1,3,7
ACT0014749,CUST00816,2025-08-01,3,60,7,0,1,4
ACT0014750,CUST00816,2025-09-01,4,49,4,0,5,3
ACT0014751,CUST00816,2025-10-01,3,44,7,1,5,5
ACT0014752,CUST00816,2025-11-01,1,92,6,0,1,5
ACT0014753,CUST00816,2025-12-01,3,91,4,1,5,1
ACT0014754,CUST00816,2026-01-01,0,78,5,0,1,7
ACT0014755,CUST00816,2026-02-01,3,77,4,1,3,7
ACT0014756,CUST00816,2026-03-01,5,57,7,1,2,4
ACT0014757,CUST00816,2026-04-01,1,61,3,1,1,5
ACT0014758,CUST00816,2026-05-01,3,65,3,1,4,3
ACT0014759,CUST00816,2026-06-01,2,64,6,1,1,8
ACT0014760,CUST00816,2026-07-01,2,91,5,0,5,7
ACT0014761,CUST00816,2026-08-01,1,57,7,2,4,7
ACT0014762,CUST00816,2026-09-01,2,37,5,1,2,7
ACT0014763,CUST00817,2026-06-01,27,526,69,7,1,4
ACT0014764,CUST00817,2026-07-01,22,400,26,9,5,5
ACT0014765,CUST00817,2026-08-01,19,414,26,7,1,4
ACT0014766,CUST00817,2026-09-01,21,326,10,6,1,4
ACT0014767,CUST00818,2024-08-01,25,626,34,9,7,4
ACT0014768,CUST00818,2024-09-01,12,552,25,3,3,5
ACT0014769,CUST00818,2024-10-01,18,245,33,2,1,7
ACT0014770,CUST00818,2024-11-01,6,105,30,4,3,7
ACT0014771,CUST00818,2024-12-01,17,435,23,6,3,4
ACT0014772,CUST00818,2025-01-01,11,354,31,6,5,4
ACT0014773,CUST00818,2025-02-01,9,277,19,2,3,5
ACT0014774,CUST00818,2025-03-01,10,215,25,2,4,4
ACT0014775,CUST00818,2025-04-01,7,180,11,3,2,3
ACT0014776,CUST00818,2025-05-01,7,140,14,2,1,5
ACT0014777,CUST00818,2025-06-01,1,51,6,1,4,3
ACT0014778,CUST00818,2025-07-01,2,135,3,0,6,3
ACT0014779,CUST00818,2025-08-01,2,75,4,1,6,6
ACT0014780,CUST00818,2025-09-01,4,72,7,1,2,5
ACT0014781,CUST00818,2025-10-01,2,40,2,0,7,1
ACT0014782,CUST00818,2025-11-01,2,87,4,0,2,7
ACT0014783,CUST00818,2025-12-01,2,47,4,1,2,5
ACT0014784,CUST00818,2026-01-01,2,83,7,0,3,3
ACT0014785,CUST00818,2026-02-01,2,77,5,0,1,6
ACT0014786,CUST00818,2026-03-01,1,90,1,0,5,7
ACT0014787,CUST00818,2026-04-01,3,63,3,1,1,5
ACT0014788,CUST00818,2026-05-01,2,111,5,1,4,4
ACT0014789,CUST00818,2026-06-01,3,55,7,0,5,6
ACT0014790,CUST00818,2026-07-01,3,90,4,1,1,3
ACT0014791,CUST00818,2026-08-01,2,32,5,2,2,5
ACT0014792,CUST00818,2026-09-01,2,99,4,1,3,4
ACT0014793,CUST00819,2026-03-01,13,527,31,3,1,4
ACT0014794,CUST00819,2026-04-01,19,475,14,6,3,5
ACT0014795,CUST00819,2026-05-01,15,409,30,8,3,5
ACT0014796,CUST00819,2026-06-01,18,447,30,8,1,5
ACT0014797,CUST00819,2026-07-01,23,445,29,6,1,3
ACT0014798,CUST00819,2026-08-01,9,426,34,4,3,5
ACT0014799,CUST00820,2024-07-01,14,320,46,8,1,6
ACT0014800,CUST00820,2024-08-01,18,460,46,5,4,7
ACT0014801,CUST00820,2024-09-01,18,436,55,6,5,3
ACT0014802,CUST00820,2024-10-01,24,416,46,6,5,2
ACT0014803,CUST00820,2024-11-01,19,511,23,8,9,3
ACT0014804,CUST00820,2024-12-01,23,411,51,8,3,5
ACT0014805,CUST00820,2025-01-01,31,428,47,4,4,4
ACT0014806,CUST00820,2025-02-01,28,491,53,5,1,3
ACT0014807,CUST00820,2025-03-01,23,337,8,6,4,4
ACT0014808,CUST00820,2025-04-01,14,674,47,9,6,3
ACT0014809,CUST00820,2025-05-01,19,675,39,13,1,2
ACT0014810,CUST00820,2025-06-01,18,587,47,7,6,5
ACT0014811,CUST00820,2025-07-01,22,699,39,5,3,3
ACT0014812,CUST00820,2025-08-01,20,377,21,6,1,6
ACT0014813,CUST00820,2025-09-01,26,652,31,9,1,4
ACT0014814,CUST00820,2025-10-01,29,676,41,10,3,6
ACT0014815,CUST00820,2025-11-01,16,518,56,6,3,5
ACT0014816,CUST00820,2025-12-01,28,388,44,10,5,4
ACT0014817,CUST00820,2026-01-01,19,498,29,9,4,1
ACT0014818,CUST00820,2026-02-01,25,426,41,12,2,4
ACT0014819,CUST00820,2026-03-01,20,304,41,9,3,5
ACT0014820,CUST00820,2026-04-01,32,396,37,7,7,5
ACT0014821,CUST00820,2026-05-01,29,471,64,11,2,3
ACT0014822,CUST00820,2026-06-01,23,578,34,5,5,5
ACT0014823,CUST00820,2026-07-01,21,390,39,5,5,6
ACT0014824,CUST00820,2026-08-01,16,362,57,10,5,6
ACT0014825,CUST00820,2026-09-01,16,467,65,12,5,5
ACT0014826,CUST00821,2024-10-01,23,488,26,5,8,4
ACT0014827,CUST00821,2024-11-01,26,176,28,7,2,3
ACT0014828,CUST00821,2024-12-01,25,552,28,6,1,3
ACT0014829,CUST00821,2025-01-01,13,432,73,6,3,4
ACT0014830,CUST00821,2025-02-01,22,308,22,11,4,5
ACT0014831,CUST00821,2025-03-01,26,505,21,9,5,2
ACT0014832,CUST00821,2025-04-01,22,597,45,10,4,6
ACT0014833,CUST00821,2025-05-01,14,732,12,10,2,6
ACT0014834,CUST00821,2025-06-01,25,417,33,6,5,2
ACT0014835,CUST00821,2025-07-01,19,572,13,4,6,2
ACT0014836,CUST00821,2025-08-01,15,746,42,11,2,2
ACT0014837,CUST00821,2025-09-01,22,566,16,8,2,5
ACT0014838,CUST00821,2025-10-01,29,458,54,7,5,6
ACT0014839,CUST00821,2025-11-01,25,533,63,8,5,2
ACT0014840,CUST00821,2025-12-01,27,652,34,11,2,3
ACT0014841,CUST00821,2026-01-01,25,551,32,4,6,2
ACT0014842,CUST00821,2026-02-01,25,373,43,7,7,7
ACT0014843,CUST00821,2026-03-01,20,674,13,7,3,1
ACT0014844,CUST00821,2026-04-01,19,674,42,9,1,3
ACT0014845,CUST00821,2026-05-01,21,552,48,8,2,4
ACT0014846,CUST00821,2026-06-01,17,389,27,9,4,5
ACT0014847,CUST00821,2026-07-01,20,487,13,10,4,5
ACT0014848,CUST00821,2026-08-01,28,755,28,12,6,4
ACT0014849,CUST00821,2026-09-01,14,542,55,4,1,5
ACT0014850,CUST00822,2024-11-01,20,628,38,9,4,5
ACT0014851,CUST00822,2024-12-01,23,297,34,6,3,5
ACT0014852,CUST00822,2025-01-01,24,617,44,8,1,4
ACT0014853,CUST00822,2025-02-01,22,522,46,8,4,3
ACT0014854,CUST00822,2025-03-01,17,653,32,10,1,3
ACT0014855,CUST00822,2025-04-01,10,158,13,7,6,2
ACT0014856,CUST00822,2025-05-01,21,466,37,7,2,1
ACT0014857,CUST00822,2025-06-01,24,653,36,8,1,4
ACT0014858,CUST00822,2025-07-01,24,348,35,14,4,3
ACT0014859,CUST00822,2025-08-01,39,555,27,7,1,3
ACT0014860,CUST00822,2025-09-01,27,314,19,10,8,5
ACT0014861,CUST00822,2025-10-01,33,327,44,11,2,3
ACT0014862,CUST00822,2025-11-01,21,552,35,8,1,5
ACT0014863,CUST00822,2025-12-01,27,541,28,3,4,4
ACT0014864,CUST00822,2026-01-01,33,712,13,7,2,3
ACT0014865,CUST00822,2026-02-01,20,381,27,4,6,4
ACT0014866,CUST00822,2026-03-01,21,689,35,8,2,4
ACT0014867,CUST00822,2026-04-01,23,530,49,11,3,6
ACT0014868,CUST00822,2026-05-01,17,605,29,5,6,1
ACT0014869,CUST00822,2026-06-01,26,529,42,12,1,3
ACT0014870,CUST00822,2026-07-01,29,468,56,9,4,4
ACT0014871,CUST00822,2026-08-01,20,797,31,11,2,3
ACT0014872,CUST00822,2026-09-01,24,477,52,7,2,3
ACT0014873,CUST00823,2024-12-01,34,277,72,10,4,2
ACT0014874,CUST00823,2025-01-01,23,267,33,11,1,5
ACT0014875,CUST00823,2025-02-01,17,584,18,11,5,3
ACT0014876,CUST00823,2025-03-01,15,690,29,5,5,5
ACT0014877,CUST00823,2025-04-01,16,714,35,10,5,3
ACT0014878,CUST00823,2025-05-01,27,653,40,0,4,3
ACT0014879,CUST00823,2025-06-01,11,476,8,7,6,5
ACT0014880,CUST00823,2025-07-01,28,452,42,4,1,3
ACT0014881,CUST00823,2025-08-01,16,383,52,7,8,7
ACT0014882,CUST00823,2025-09-01,14,653,51,6,4,4
ACT0014883,CUST00823,2025-10-01,37,742,34,12,3,6
ACT0014884,CUST00823,2025-11-01,23,486,24,6,5,5
ACT0014885,CUST00823,2025-12-01,20,718,40,8,2,5
ACT0014886,CUST00823,2026-01-01,25,522,47,6,1,4
ACT0014887,CUST00823,2026-02-01,25,654,69,9,1,6
ACT0014888,CUST00823,2026-03-01,25,396,50,9,3,5
ACT0014889,CUST00823,2026-04-01,16,470,21,9,4,6
ACT0014890,CUST00823,2026-05-01,29,401,44,9,2,6
ACT0014891,CUST00823,2026-06-01,20,403,36,2,1,5
ACT0014892,CUST00823,2026-07-01,18,316,17,4,2,2
ACT0014893,CUST00823,2026-08-01,26,562,28,11,2,4
ACT0014894,CUST00823,2026-09-01,31,448,50,10,3,4
ACT0014895,CUST00824,2024-06-01,11,80,25,8,1,5
ACT0014896,CUST00824,2024-07-01,17,648,22,7,1,2
ACT0014897,CUST00824,2024-08-01,18,320,34,9,1,6
ACT0014898,CUST00824,2024-09-01,12,392,27,8,5,5
ACT0014899,CUST00824,2024-10-01,15,579,46,6,1,4
ACT0014900,CUST00824,2024-11-01,27,760,9,8,4,7
ACT0014901,CUST00824,2024-12-01,22,527,31,5,2,5
ACT0014902,CUST00824,2025-01-01,12,681,40,3,4,4
ACT0014903,CUST00824,2025-02-01,31,263,35,5,5,6
ACT0014904,CUST00824,2025-03-01,11,525,59,10,7,5
ACT0014905,CUST00824,2025-04-01,12,257,30,5,7,7
ACT0014906,CUST00824,2025-05-01,26,593,26,9,1,3
ACT0014907,CUST00824,2025-06-01,32,545,48,0,3,4
ACT0014908,CUST00824,2025-07-01,29,642,50,8,6,3
ACT0014909,CUST00824,2025-08-01,20,762,41,11,3,5
ACT0014910,CUST00824,2025-09-01,29,699,37,3,2,4
ACT0014911,CUST00824,2025-10-01,25,385,46,8,3,2
ACT0014912,CUST00824,2025-11-01,26,246,51,14,4,4
ACT0014913,CUST00824,2025-12-01,33,459,43,9,2,7
ACT0014914,CUST00824,2026-01-01,29,836,47,6,1,5
ACT0014915,CUST00824,2026-02-01,23,689,36,5,1,4
ACT0014916,CUST00824,2026-03-01,17,440,36,8,2,3
ACT0014917,CUST00824,2026-04-01,32,460,49,6,3,6
ACT0014918,CUST00824,2026-05-01,18,630,48,6,1,6
ACT0014919,CUST00824,2026-06-01,18,456,32,2,4,1
ACT0014920,CUST00824,2026-07-01,26,597,37,4,5,1
ACT0014921,CUST00824,2026-08-01,21,693,43,6,1,8
ACT0014922,CUST00824,2026-09-01,19,468,32,5,1,4
ACT0014923,CUST00825,2023-12-01,19,343,3,8,3,7
ACT0014924,CUST00825,2024-01-01,17,192,46,10,1,5
ACT0014925,CUST00825,2024-02-01,23,626,42,6,3,4
ACT0014926,CUST00825,2024-03-01,12,233,30,5,3,4
ACT0014927,CUST00825,2024-04-01,17,410,7,10,6,4
ACT0014928,CUST00825,2024-05-01,12,289,13,3,1,6
ACT0014929,CUST00825,2024-06-01,5,209,11,6,5,5
ACT0014930,CUST00825,2024-07-01,11,222,14,3,3,6
ACT0014931,CUST00825,2024-08-01,9,216,10,2,8,4
ACT0014932,CUST00825,2024-09-01,7,123,8,2,7,5
ACT0014933,CUST00825,2024-10-01,3,171,7,1,5,3
ACT0014934,CUST00825,2024-11-01,3,51,6,1,2,5
ACT0014935,CUST00825,2024-12-01,3,96,6,1,6,5
ACT0014936,CUST00825,2025-01-01,2,50,7,1,4,2
ACT0014937,CUST00825,2025-02-01,2,105,6,0,5,4
ACT0014938,CUST00825,2025-03-01,3,65,7,1,1,4
ACT0014939,CUST00825,2025-04-01,3,78,4,0,6,7
ACT0014940,CUST00825,2025-05-01,2,94,6,0,4,9
ACT0014941,CUST00825,2025-06-01,1,105,5,1,6,4
ACT0014942,CUST00825,2025-07-01,3,72,3,1,4,8
ACT0014943,CUST00825,2025-08-01,3,72,4,1,7,4
ACT0014944,CUST00825,2025-09-01,3,67,2,1,1,5
ACT0014945,CUST00825,2025-10-01,2,66,4,1,3,5
ACT0014946,CUST00825,2025-11-01,3,138,3,0,3,3
ACT0014947,CUST00825,2025-12-01,4,114,4,1,4,4
ACT0014948,CUST00825,2026-01-01,3,93,2,0,3,4
ACT0014949,CUST00825,2026-02-01,3,54,3,0,1,6
ACT0014950,CUST00825,2026-03-01,3,88,7,0,3,5
ACT0014951,CUST00825,2026-04-01,3,83,5,1,5,6
ACT0014952,CUST00825,2026-05-01,2,89,1,0,3,4
ACT0014953,CUST00825,2026-06-01,4,68,5,1,1,5
ACT0014954,CUST00825,2026-07-01,3,110,4,1,5,3
ACT0014955,CUST00825,2026-08-01,0,75,7,1,5,4
ACT0014956,CUST00825,2026-09-01,3,34,6,0,5,4
ACT0014957,CUST00826,2024-03-01,25,494,48,9,4,6
ACT0014958,CUST00826,2024-04-01,22,760,34,7,2,4
ACT0014959,CUST00826,2024-05-01,18,396,42,4,2,1
ACT0014960,CUST00826,2024-06-01,15,682,28,5,2,5
ACT0014961,CUST00826,2024-07-01,28,631,19,12,6,5
ACT0014962,CUST00826,2024-08-01,13,364,26,6,4,1
ACT0014963,CUST00826,2024-09-01,12,465,48,7,4,6
ACT0014964,CUST00826,2024-10-01,16,348,22,7,2,7
ACT0014965,CUST00826,2024-11-01,22,601,25,7,3,5
ACT0014966,CUST00826,2024-12-01,23,446,34,11,2,6
ACT0014967,CUST00826,2025-01-01,23,612,34,11,2,5
ACT0014968,CUST00826,2025-02-01,24,523,52,11,5,7
ACT0014969,CUST00826,2025-03-01,19,459,42,7,3,2
ACT0014970,CUST00826,2025-04-01,27,483,38,4,3,5
ACT0014971,CUST00826,2025-05-01,13,474,33,7,3,2
ACT0014972,CUST00826,2025-06-01,28,130,42,11,3,2
ACT0014973,CUST00826,2025-07-01,27,257,34,11,3,5
ACT0014974,CUST00826,2025-08-01,31,272,40,8,2,4
ACT0014975,CUST00826,2025-09-01,29,221,36,5,4,4
ACT0014976,CUST00826,2025-10-01,24,491,40,7,4,5
ACT0014977,CUST00826,2025-11-01,23,471,54,5,8,3
ACT0014978,CUST00826,2025-12-01,19,226,35,10,2,7
ACT0014979,CUST00826,2026-01-01,20,288,27,9,2,7
ACT0014980,CUST00826,2026-02-01,17,483,31,10,1,1
ACT0014981,CUST00826,2026-03-01,18,467,16,9,5,4
ACT0014982,CUST00826,2026-04-01,17,719,24,9,3,5
ACT0014983,CUST00826,2026-05-01,27,547,14,10,1,5
ACT0014984,CUST00826,2026-06-01,25,457,46,4,1,5
ACT0014985,CUST00826,2026-07-01,19,724,34,4,9,2
ACT0014986,CUST00826,2026-08-01,23,516,49,6,3,4
ACT0014987,CUST00826,2026-09-01,34,629,27,6,3,3
ACT0014988,CUST00827,2025-10-01,10,397,24,12,4,2
ACT0014989,CUST00827,2025-11-01,16,519,39,7,5,4
ACT0014990,CUST00827,2025-12-01,15,834,22,3,3,4
ACT0014991,CUST00827,2026-01-01,7,437,20,0,3,3
ACT0014992,CUST00827,2026-02-01,17,236,19,6,3,3
ACT0014993,CUST00827,2026-03-01,8,408,16,2,3,4
ACT0014994,CUST00827,2026-04-01,11,159,28,3,7,5
ACT0014995,CUST00827,2026-05-01,10,274,13,1,5,8
ACT0014996,CUST00827,2026-06-01,7,182,13,1,6,3
ACT0014997,CUST00827,2026-07-01,7,150,14,0,5,5
ACT0014998,CUST00827,2026-08-01,3,134,8,1,1,4
ACT0014999,CUST00827,2026-09-01,3,60,5,1,6,5
ACT0015000,CUST00828,2025-09-01,14,685,32,9,2,3
ACT0015001,CUST00828,2025-10-01,12,713,34,10,8,6
ACT0015002,CUST00828,2025-11-01,31,342,35,5,1,4
ACT0015003,CUST00828,2025-12-01,15,411,37,8,5,5
ACT0015004,CUST00828,2026-01-01,32,816,30,8,4,3
ACT0015005,CUST00828,2026-02-01,26,623,45,10,2,6
ACT0015006,CUST00828,2026-03-01,28,177,30,9,9,5
ACT0015007,CUST00828,2026-04-01,23,462,36,12,4,7
ACT0015008,CUST00828,2026-05-01,19,562,14,6,3,4
ACT0015009,CUST00828,2026-06-01,20,477,54,6,5,5
ACT0015010,CUST00828,2026-07-01,19,821,46,7,5,5
ACT0015011,CUST00828,2026-08-01,21,353,33,0,2,5
ACT0015012,CUST00828,2026-09-01,23,460,44,10,4,4
ACT0015013,CUST00829,2026-04-01,15,367,44,14,1,4
ACT0015014,CUST00829,2026-05-01,23,756,43,7,5,5
ACT0015015,CUST00829,2026-06-01,31,428,57,12,3,3
ACT0015016,CUST00829,2026-07-01,19,463,37,10,5,3
ACT0015017,CUST00829,2026-08-01,23,788,12,8,3,5
ACT0015018,CUST00829,2026-09-01,16,480,43,6,3,2
ACT0015019,CUST00830,2025-11-01,22,231,36,10,4,7
ACT0015020,CUST00830,2025-12-01,24,238,57,3,7,6
ACT0015021,CUST00830,2026-01-01,22,758,41,10,4,4
ACT0015022,CUST00830,2026-02-01,13,816,54,7,2,7
ACT0015023,CUST00830,2026-03-01,26,662,52,11,7,6
ACT0015024,CUST00830,2026-04-01,12,449,43,9,5,5
ACT0015025,CUST00830,2026-05-01,11,544,13,2,5,3
ACT0015026,CUST00830,2026-06-01,18,574,29,9,6,3
ACT0015027,CUST00830,2026-07-01,17,595,31,9,5,4
ACT0015028,CUST00830,2026-08-01,29,320,45,1,4,5
ACT0015029,CUST00830,2026-09-01,13,730,23,6,6,5
ACT0015030,CUST00831,2025-08-01,17,410,35,6,4,4
ACT0015031,CUST00831,2025-09-01,24,392,17,16,6,3
ACT0015032,CUST00831,2025-10-01,13,566,27,11,5,5
ACT0015033,CUST00831,2025-11-01,19,654,32,8,2,5
ACT0015034,CUST00831,2025-12-01,12,601,50,3,6,3
ACT0015035,CUST00831,2026-01-01,14,421,29,6,5,6
ACT0015036,CUST00831,2026-02-01,15,409,42,4,4,4
ACT0015037,CUST00831,2026-03-01,16,256,39,8,7,3
ACT0015038,CUST00831,2026-04-01,25,598,50,6,5,2
ACT0015039,CUST00831,2026-05-01,5,301,23,2,7,3
ACT0015040,CUST00831,2026-06-01,15,645,33,4,7,4
ACT0015041,CUST00831,2026-07-01,16,60,38,7,3,6
ACT0015042,CUST00831,2026-08-01,9,293,36,10,3,4
ACT0015043,CUST00832,2024-01-01,19,474,19,10,5,2
ACT0015044,CUST00832,2024-02-01,14,484,50,11,6,5
ACT0015045,CUST00832,2024-03-01,27,518,52,9,6,4
ACT0015046,CUST00832,2024-04-01,18,422,30,6,1,5
ACT0015047,CUST00832,2024-05-01,18,547,35,4,4,5
ACT0015048,CUST00832,2024-06-01,14,542,0,10,5,1
ACT0015049,CUST00832,2024-07-01,12,401,56,6,6,5
ACT0015050,CUST00832,2024-08-01,18,284,33,1,4,4
ACT0015051,CUST00832,2024-09-01,19,452,29,8,3,1
ACT0015052,CUST00832,2024-10-01,18,446,31,5,7,5
ACT0015053,CUST00832,2024-11-01,23,594,46,7,2,6
ACT0015054,CUST00832,2024-12-01,25,594,33,8,1,4
ACT0015055,CUST00832,2025-01-01,23,718,38,7,7,7
ACT0015056,CUST00832,2025-02-01,16,430,7,7,8,4
ACT0015057,CUST00832,2025-03-01,15,577,40,9,4,3
ACT0015058,CUST00832,2025-04-01,18,429,36,6,3,6
ACT0015059,CUST00832,2025-05-01,15,561,44,13,6,5
ACT0015060,CUST00832,2025-06-01,25,380,54,5,4,3
ACT0015061,CUST00832,2025-07-01,16,253,26,8,3,5
